Day,Y_sched,Y_actual
1.0,5.0,11.0
2.0,4.886244297027588,15.0
3.0,4.789888381958008,13.0
4.0,4.732598781585693,15.0
5.0,4.745586395263672,20.0
6.0,4.865314483642578,25.0
7.0,5.1304030418396,23.0
8.0,5.579468250274658,28.0
9.0,6.2496538162231445,25.0
10.0,7.1756978034973145,23.0
11.0,8.389398574829102,28.0
12.0,9.919357299804688,31.0
13.0,11.790934562683105,32.0
14.0,14.02635383605957,31.0
15.0,16.64488410949707,31.0
16.0,19.663105010986328,30.0
17.0,23.095199584960938,29.0
18.0,26.953235626220703,30.0
19.0,31.247465133666992,31.0
20.0,35.986698150634766,35.0
21.0,41.17845916748047,37.0
22.0,46.82931137084961,42.0
23.0,52.94511032104492,41.0
24.0,59.531192779541016,44.0
25.0,66.59255981445312,44.0
26.0,74.13409423828125,37.0
27.0,82.16067504882812,38.0
